LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2002,11,2,2.824,96.085,30,7.3,5,59,180,437,741,1041
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,1,23,-8.807,118.524,33,5.5,5,0,0,0,416,1759
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,3,21,-6.983,108.468,33,4.6,5,0,0,0,712,780
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,3,25,-8.294,120.743,33,6.5,5,83,195,732,1753,3716
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,5,26,2.354,128.855,31,7,5,2485,296,879,2015,3605
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,8,11,1.142,128.152,10,6,5,3,6,12,38,103
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2003,12,5,-8.137,120.524,33,4.9,5,1995,266,605,1998,4705
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,1,1,-8.31,115.788,45,5.8,5,1194,101,323,988,1500
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,2,5,-3.615,135.538,17,7,5,0,0,0,0,0
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,2,7,-4.003,135.023,10,7.3,5,0,0,0,43,183
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,2,16,-0.466,100.655,56,5.1,5,0,0,0,0,592
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,2,22,-1.559,100.488,42,6,5,67,12,48,279,1085
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,4,9,-1.549,100.54,66,5.4,5,40,9,27,75,860
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,4,16,-8.669,114.65,96,5.5,5,189,150,195,411,1249
 NEWGUINEA:MANOKWARI/ORANSBARI/RANSIKI ,0,2004,4,23,-9.362,122.839,66,6.7,5,3321,16,41,56,251
 KEPULAUANALOR ,0,2004,11,26,-3.609,135.404,10,7.1,2,0,0,0,0,0
 SUMATRA:ACEH:OFFWESTCOAST ,0,2005,1,23,-1.198,119.933,11,6.3,50.9,0,0,0,0,1150
